,Year,Name,Pos.,GP,GS,Min,G,A,Y,R,Caps,Goals
24,2017,"Sauerbrunn, Becky",D,16,16,"1,350",0,1,1,0,135,0
25,2017,"Short, Casey",D,15,13,"1,116",0,1,1,0,19,0
26,2017,"Smith, Taylor",M,7,4,379,0,2,0,0,7,0
27,2017,"Sullivan, Andi",M,3,1,76,0,0,0,0,7,0
28,2017,"Williams, Lynn",F,11,4,484,3,0,1,0,15,4
29,2017,"Zerboni, McCall",M,1,0,45,0,0,0,0,1,0
0,2018,"Brian, Morgan",M,12,7,649,0,0,0,0,81,6
1,2018,"Campbell, Jane",GK,1,1,67,0,0,0,0,3,0
2,2018,"Colaprico, Danielle",M,2,0,59,0,0,0,0,2,0
3,2018,"Dahlkemper, Abby",D,17,16,1358,0,2,0,0,30,0
4,2018,"Davidson, Tierna",D,12,12,1049,1,2,1,0,12,1
5,2018,"Dunn, Crystal",F,18,15,1411,2,2,2,0,75,24
6,2018,"Ertz, Julie",M,16,15,1135,4,0,1,0,73,18
7,2018,"Fox, Emily",D,2,2,139,0,0,0,0,2,0
8,2018,"Hanson, Haley",M,1,0,50,0,0,0,0,1,0
9,2018,"Harris, Ashlyn",GK,5,4,383,0,0,0,0,19,0
10,2018,"Hatch, Ashley",F,1,0,10,0,0,0,0,2,0
11,2018,"Heath, Tobin",F,10,8,657,7,6,2,0,142,25
12,2018,"Horan, Lindsey",M,19,16,1298,3,8,0,0,62,7
13,2018,"Huerta, Sofia",D,4,1,153,0,0,0,0,7,0
14,2018,"Lavelle, Rose",M,13,9,687,4,1,0,0,20,6
15,2018,"Lloyd, Carli",M,19,5,789,7,0,0,0,265,105
16,2018,"Long, Allie",M,7,1,226,0,0,0,0,40,6
17,2018,"Mace, Hailie",D,3,1,137,0,0,0,0,3,0
18,2018,"Mathias, Merritt",D,1,0,13,0,0,0,0,1,0
19,2018,"McCaskill, Savannah",F,6,1,157,0,0,0,0,6,0
20,2018,"McDonald, Jessica",F,2,1,67,1,0,0,0,3,1
21,2018,"McGrady, Tegan",D,1,0,32,0,0,0,0,1,0
22,2018,"Mewis, Samantha",M,7,2,275,1,0,0,0,41,8
23,2018,"Morgan, Alex",F,19,18,1500,18,3,0,0,153,98
24,2018,"Naeher, Alyssa",GK,15,15,1350,0,0,0,0,38,0
25,2018,"O'Hara, Kelley",D,8,8,608,0,0,0,0,112,2
26,2018,"Press, Christen",F,10,4,445,2,4,0,0,106,46
27,2018,"Pugh, Mallory",F,14,10,832,6,3,0,0,43,12
28,2018,"Rapinoe, Megan",F,16,16,1214,7,12,0,0,145,41
29,2018,"Rodriguez, Amy",F,2,0,43,0,0,0,0,132,30
30,2018,"Sauerbrunn, Becky",D,14,12,1109,0,1,0,0,149,0
31,2018,"Short, Casey",D,8,2,271,0,1,0,0,27,0
32,2018,"Smith, Taylor",M,3,3,188,0,0,0,0,10,0
33,2018,"Sonnett, Emily",D,14,9,874,0,1,1,0,26,0
34,2018,"Sullivan, Andi",M,4,4,241,0,0,1,0,11,0
35,2018,"Williams, Lynn",F,4,0,67,0,0,0,0,19,4
36,2018,"Zerboni, McCall",M,6,2,257,0,0,0,0,7,0
0,2019,"Brian, Morgan",M,6,5,439,2,0,0,,87,8.0
1,2019,"Cook, Alana",D,1,1,90,0,0,0,,1,0.0
2,2019,"Dahlkemper, Abby",D,23,21,1877,0,0,1,,53,0.0
3,2019,"Davidson, Tierna",D,13,6,730,0,3,0,,25,1.0
4,2019,"Dunn, Crystal",F,21,20,1617,0,3,0,,96,24.0
5,2019,"Ertz, Julie",M,22,22,1755,1,1,0,,95,19.0
6,2019,"Fox, Emily",D,1,1,53,0,0,0,,3,0.0
7,2019,"Franch, Adrianna",GK,3,2,225,0,0,0,,3,
8,2019,"Hamilton, Kristen",F,1,0,14,0,0,0,,1,0.0
9,2019,"Harris, Ashlyn",GK,5,3,315,0,0,0,,24,
10,2019,"Heath, Tobin",F,20,20,1417,7,5,0,,162,32.0
11,2019,"Horan, Lindsey",M,16,12,986,5,4,3,,78,12.0
12,2019,"Krieger, Ali",D,6,2,292,0,0,0,,104,1.0
13,2019,"Lavelle, Rose",M,18,17,1188,4,4,0,,38,10.0
14,2019,"Lloyd, Carli",M,23,9,974,16,5,2,,288,121.0
15,2019,"Long, Allie",M,11,1,339,2,0,1,,51,8.0
16,2019,"McDonald, Jessica",F,11,1,326,1,1,0,,14,2.0
17,2019,"Mewis, Samantha",M,19,11,1136,6,4,1,,60,14.0
18,2019,"Morgan, Alex",F,16,15,1231,9,3,0,,169,107.0
19,2019,"Naeher, Alyssa",GK,19,19,1620,0,1,0,,57,
20,2019,"O'Hara, Kelley",D,13,13,903,0,3,1,,125,2.0
21,2019,"Press, Christen",F,24,10,1181,5,12,0,,130,51.0
22,2019,"Pugh, Mallory",F,19,7,841,6,2,0,,62,18.0
23,2019,"Purce, Margaret",D,1,1,90,0,0,0,,1,0.0
24,2019,"Rapinoe, Megan",F,15,14,1075,9,7,2,,160,50.0
25,2019,"Sauerbrunn, Becky",D,22,21,1785,0,0,1,,171,0.0
26,2019,"Short, Casey",D,4,2,247,0,0,0,,31,0.0
27,2019,"Sonnett, Emily",D,14,8,741,0,2,0,,40,0.0
28,2019,"Sullivan, Andi",M,4,0,145,0,0,0,,15,0.0
29,2019,"Williams, Lynn",F,2,0,90,2,0,0,,21,6.0
30,2019,"Zerboni, McCall",M,2,0,38,0,0,0,,9,0.0
