Player,Pos,GP,GS,Min.,G,A,Pts,Y/R,Caps/Goals
"Brian, Morgan",M,20,18,1467,2,5,9,0/0,63/6
"Dahlkemper, Abby",M,2,0,43,0,0,0,0/0,2/0
"Dunn, Crystal",F,25,17,1494,14,8,36,1/0,45/18
"Engen, Whitney",D,11,5,507,0,0,0,0/0,40/4
"Harris, Ashlyn",GK,3,3,270,0,0,0,0/0,11/0
"Hatch, Ashley",F,1,0,16,0,0,0,0/0,1/0
"Heath, Tobin",M,22,20,1747,6,8,20,1/0,128/18
"Hinkle, Jaelene",D,4,1,165,0,0,0,0/0,8/0
"Horan, Lindsey",M,24,14,1195,2,5,9,1/0,30/3
"Johnston, Julie",D,19,15,1345,3,1,7,2/0,45/8
"Klingenberg, Meghan",D,20,18,1562,0,4,4,1/0,70/3
"Krieger, Ali",D,17,7,792,0,0,0,1/0,96/1
"Lloyd, Carli",M,21,20,1644,17,11,45,1/0,232/96
"Long, Allie",M,16,14,1191,3,2,8,1/0,20/3
"McCaffrey, Stephanie",F,2,1,135,0,1,1,0/0,6/1
"McDonald, Jessica",F,1,0,45,0,0,0,0/0,1/0
"Mewis, Samantha",M,14,5,595,4,0,8,0/0,18/4
"Morgan, Alex",F,21,16,1504,17,3,37,0/0,120/73
"Naeher, Alyssa",GK,6,5,495,0,0,0,0/0,10/0
"Ohai, Kealia",F,3,2,100,1,0,2,0/0,3/1
"O'Hara, Kelley",D,22,16,1467,1,4,6,0/0,91/2
"O'Reilly, Heather",M,4,1,165,1,1,3,0/0,231/47
"Press, Christen",F,25,9,1122,12,6,29,0/0,80/41
"Pugh, Mallory",F,17,12,1078,4,7,15,1/0,17/4
"Rapinoe, Megan",M,4,1,131,0,0,0,0/0,117/31
"Sauerbrunn, Becky",D,23,23,1897,0,3,3,0/0,119/0
"Short, Casey",D,4,4,315,0,0,0,1/0,4/0
"Solo, Hope",GK,17,17,1501,0,0,0,0/0,202/0
"Sonnett, Emily",D,8,4,397,0,0,0,0/0,12/0
"Sullivan, Andi",M,4,4,314,0,2,2,0/0,4/0
"Williams, Lynn",F,4,3,225,1,0,2,1/0,4/1
